City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,mount pearl,47.5166,-52.7813,276.66,62,75,13.38,CA,1698648438
278,al hoceima,35.2433,-3.9309,291.72,72,75,3.09,MA,1698648438
279,port sudan,19.6175,37.2164,303.33,65,18,3.85,SD,1698648438
280,al jawf,29.5,38.75,293.05,61,70,4.87,SA,1698648438
281,shimoda,34.6667,138.95,294.35,66,36,2.24,JP,1698648439
282,kill devil hills,36.0307,-75.676,293.14,91,0,4.12,US,1698648442
283,manokwari,-0.8667,134.0833,301.23,73,49,1.52,ID,1698648442
284,dhalie,13.6957,44.7314,294.56,65,100,3.06,YE,1698648442
285,ulety,51.3572,112.4849,271.96,28,100,3.32,RU,1698648443
286,malampaka,-3.1333,33.5333,300.24,42,16,2.53,TZ,1698648443
287,howrah,22.5892,88.3103,304.15,51,40,2.57,IN,1698648351
288,guarapuava,-25.3953,-51.4581,289.56,99,60,1.49,BR,1698648444
289,bamboo flat,11.7,92.7167,304.2,70,40,3.6,IN,1698648445
290,pangoa,-12.1167,-73.0,293.8,100,100,0.71,PE,1698648445
291,macau,22.2006,113.5461,304.18,69,40,5.14,MO,1698648445
292,kone,-21.0595,164.8658,294.41,61,9,3.05,NC,1698648446
293,ancud,-41.8697,-73.8203,279.73,80,96,6.45,CL,1698648446
294,hasaki,35.7333,140.8333,292.37,55,0,6.69,JP,1698648446
295,basco,20.4487,121.9702,299.98,75,10,8.34,PH,1698648447
296,camocim,-2.9022,-40.8411,298.33,80,88,5.96,BR,1698648447
297,grantsville,40.5999,-112.4644,272.99,57,0,2.68,US,1698648447
298,lugoff,34.2274,-80.6892,292.11,95,0,0.0,US,1698648383
299,chaves,33.3834,-104.4505,276.38,48,100,8.23,US,1698648448
300,colonia,50.9333,6.95,286.25,84,20,4.12,DE,1698648153
301,yurty,56.0498,97.6348,271.01,38,0,1.25,RU,1698648448
302,tazovsky,67.4667,78.7,258.94,88,13,0.67,RU,1698648448
303,wellington,-41.2866,174.7756,288.96,80,40,5.66,NZ,1698648364
304,gaigeturi,33.4644,126.3183,294.18,64,0,3.6,KR,1698648449
305,gorom-gorom,14.4439,-0.2361,303.01,20,41,2.76,BF,1698648449
306,alaghsas,17.0187,8.0168,298.09,15,2,3.09,NE,1698648449
307,margate,51.3813,1.3862,287.54,90,99,0.89,GB,1698648215
308,lagos,6.5833,3.75,299.33,90,100,0.58,NG,1698648027
309,merritt island,28.5392,-80.672,298.2,87,20,0.0,US,1698648450
